id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7315883828,lakeland,36990,2017.0,ford,f150 super cab lariat,good,6 cylinders,gas,38094.0,clean,other,1FTFX1EG9HKD14814,4wd,,pickup,white,fl
7314599643,"quad cities, IA/IL",27995,2006.0,chevrolet,corvette,good,8 cylinders,gas,,clean,manual,,rwd,,convertible,black,il
7308399808,little rock,78423,2015.0,chevrolet,corvette,,8 cylinders,gas,30200.0,clean,automatic,,rwd,,convertible,,ar
7312663807,northern panhandle,14000,2013.0,bmw,328i,,,gas,92965.0,clean,automatic,,,,,,oh
7315368523,eugene,676,2019.0,chevrolet,suburban ls,,8 cylinders,other,47105.0,clean,automatic,1GNSKGKC7KR124145,,,,black,or
7309863303,waterloo / cedar falls,2744,2002.0,chrysler,town country,excellent,6 cylinders,gas,229031.0,clean,automatic,2C4GP44392R547816,fwd,,mini-van,blue,ia
7315163492,jackson,15293,2015.0,mitsubishi,outlander sport,excellent,4 cylinders,gas,36646.0,clean,automatic,,fwd,,SUV,white,tn
7304728134,albany,4500,2008.0,hyundai,elantra,good,4 cylinders,gas,111000.0,clean,automatic,,fwd,mid-size,sedan,silver,ny
7316972938,charlotte,22991,2016.0,ford,mustang,,4 cylinders,gas,79631.0,clean,automatic,1FA6P8TH9G5224182,rwd,,other,custom,nc
7303836633,columbus,41995,2015.0,chevrolet,silverado 2500hd,,,gas,158039.0,clean,automatic,1GC1KWE87FF570325,,,other,white,oh
7314062043,appleton-oshkosh-FDL,10950,2010.0,ford,f-150,,8 cylinders,gas,150900.0,clean,automatic,1FTFX1EV8AFD31651,4wd,full-size,pickup,red,wi
7307384497,twin falls,362,2010.0,gmc,sierra 1500 sle,good,,other,108674.0,clean,other,3GTRKVE38AG293306,,,hatchback,silver,id
7308249312,knoxville,16990,2013.0,ford,f-150 xlt,,6 cylinders,gas,137000.0,clean,automatic,,rwd,,,green,tn
7315155963,houston,85900,2016.0,mercedes-benz,benz amg gts,excellent,8 cylinders,gas,11600.0,clean,automatic,,rwd,,coupe,grey,tx
7316224599,ft myers / SW florida,37590,2015.0,porsche,boxster roadster 2d,good,,other,61163.0,clean,other,WP0CA2A87FS110275,,,other,white,fl
7316060352,hawaii,23000,2017.0,ford,fusion sport awd,like new,6 cylinders,gas,31500.0,clean,automatic,,4wd,full-size,sedan,black,hi
7303028736,erie,13995,2013.0,ford,explorer,,,gas,156190.0,clean,automatic,1FM5K8F89DGA63750,,,SUV,silver,pa
7307149592,fort collins / north CO,17995,2014.0,infiniti,q50,,6 cylinders,gas,106267.0,clean,automatic,JN1BV7AR1EM688528,4wd,,sedan,white,co
7312323150,monterey bay,35590,2018.0,gmc,sierra 1500 double cab sle,good,,other,19458.0,clean,other,1GTV2MEH7JZ364418,4wd,,pickup,black,ca
7309458405,philadelphia,7999,2009.0,ford,,good,6 cylinders,gas,89000.0,clean,automatic,,4wd,,SUV,black,pa
7311552010,little rock,24900,2013.0,gmc,sierra,,,other,127295.0,clean,automatic,3GTP2WE70DG155599,4wd,,pickup,white,ar
7309195488,new haven,7500,1979.0,,Triumph Spitfire 1500,good,4 cylinders,gas,82947.0,clean,manual,,rwd,,convertible,white,ct
7314592459,ventura county,11995,2007.0,gmc,sierra,,,other,192493.0,clean,automatic,1GTEC19Z57Z137199,fwd,,pickup,black,ca
7310936846,buffalo,16990,2017.0,volkswagen,golf sportwagen tsi s,good,,gas,46260.0,clean,other,3VWC17AU0HM506390,fwd,,wagon,blue,ny
